id,name,image_url,is_closed,url,review_count,rating,transactions,price,display_phone,category,sub_category,latitude,longitude,address1,address2,address3,city,zip_code,country,state,display_address
0sNH2OU3RiV3uf52M20L1Q,Tings Jamaican Jerk Chicken,https://s3-media1.fl.yelpcdn.com/bphoto/KH2D5DFAbu1grQtmGOxRvA/o.jpg,False,https://www.yelp.com/biz/tings-jamaican-jerk-chicken-new-york?adjust_creative=TbeWL7dBz_EmPK89bHN42A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TbeWL7dBz_EmPK89bHN42A,42,3.5,"['pickup', 'delivery']",,,Caribbean,Juice Bars & Smoothies,40.7422926,-74.0061307,75 9th Ave,,,New York,10011,US,NY,"75 9th Ave, New York, NY 10011"
jv_nLKw5_PFjFhFsoKwcYw,Alibi,https://s3-media1.fl.yelpcdn.com/bphoto/67RRd8wUykOkn52qoW9DrA/o.jpg,False,https://www.yelp.com/biz/alibi-new-york-4?adjust_creative=TbeWL7dBz_EmPK89bHN42A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TbeWL7dBz_EmPK89bHN42A,45,2.5,[],$$,(917) 472-7789,Lounges,,40.817856,-73.942294,2376 Adam Clayton Powell,,,New York,10030,US,NY,"2376 Adam Clayton Powell, New York, NY 10030"
2tTUnW5filzR3YG-G7rZ0w,Benyam Cuisine,https://s3-media2.fl.yelpcdn.com/bphoto/W5C0XTdRKgiq_3ZEa-RMFw/o.jpg,False,https://www.yelp.com/biz/benyam-cuisine-new-york?adjust_creative=TbeWL7dBz_EmPK89bHN42A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TbeWL7dBz_EmPK89bHN42A,117,5.0,['delivery'],$$,(212) 510-7353,Ethiopian,,40.82522,-73.94058,2795 Frederick Douglas Blvd,,,New York,10039,US,NY,"2795 Frederick Douglas Blvd, New York, NY 10039"
Z-hDHjP4Eza6BA4G97tzVA,BLVD Bistro,https://s3-media3.fl.yelpcdn.com/bphoto/QCZQZlIsd22Lmq3rnuvmCw/o.jpg,False,https://www.yelp.com/biz/blvd-bistro-new-york?adjust_creative=TbeWL7dBz_EmPK89bHN42A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TbeWL7dBz_EmPK89bHN42A,873,4.0,"['pickup', 'delivery', 'restaurant_reservation']",$$,(212) 678-6200,American (Traditional),Soul Food,40.80438,-73.9558,2149 Frederick Douglass Blvd,,,New York,10026,US,NY,"2149 Frederick Douglass Blvd, New York, NY 10026"
nnfJgt5uw7f-tx5HT09Bkw,Charles Pan Fried Chicken,https://s3-media2.fl.yelpcdn.com/bphoto/JyDZAWkmqy_OJWIY33L7qA/o.jpg,False,https://www.yelp.com/biz/charles-pan-fried-chicken-new-york-2?adjust_creative=TbeWL7dBz_EmPK89bHN42A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TbeWL7dBz_EmPK89bHN42A,105,4.0,[],$$,(212) 281-1800,Southern,Chicken Shop,40.8146146267905,-73.9482675120234,2461 Frederick Douglass Blvd,,,New York,10027,US,NY,"2461 Frederick Douglass Blvd, New York, NY 10027"
YRfDdBgWS4T80oJfKmVThA,Chocolat Restaurant & Bar,https://s3-media2.fl.yelpcdn.com/bphoto/NbnLWvwIDfiyqVLnDfxrvw/o.jpg,False,https://www.yelp.com/biz/chocolat-restaurant-and-bar-new-york-3?adjust_creative=TbeWL7dBz_EmPK89bHN42A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TbeWL7dBz_EmPK89bHN42A,1004,3.0,"['pickup', 'delivery']",$$,(212) 222-4545,American (New),Lounges,40.8069256,-73.9539472,2223 Frederick Douglass Blvd,,,New York,10026,US,NY,"2223 Frederick Douglass Blvd, New York, NY 10026"
ej_pg-wc-ZtexQKPPiQ_5w,The Edge Harlem,https://s3-media2.fl.yelpcdn.com/bphoto/WZBo8DAj3BjR2y4MmyMf9A/o.jpg,False,https://www.yelp.com/biz/the-edge-harlem-new-york?adjust_creative=TbeWL7dBz_EmPK89bHN42A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TbeWL7dBz_EmPK89bHN42A,610,4.0,"['pickup', 'delivery']",$$,(212) 939-9688,Breakfast & Brunch,American (New),40.8199158,-73.9460373,101 Edgecombe Ave,,,New York,10030,US,NY,"101 Edgecombe Ave, New York, NY 10030"
Vn3uPx9RsmempB-tOilw7g,Famous Fish Market,https://s3-media3.fl.yelpcdn.com/bphoto/j_kj-cuaBor7aMXK1W3pUA/o.jpg,False,https://www.yelp.com/biz/famous-fish-market-new-york?adjust_creative=TbeWL7dBz_EmPK89bHN42A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TbeWL7dBz_EmPK89bHN42A,217,4.0,[],$,(212) 491-8323,Seafood,Fish & Chips,40.82355,-73.94479,684 St Nicholas Ave,,,New York,10030,US,NY,"684 St Nicholas Ave, New York, NY 10030"
UILT56veNs63NASF3dGRKA,Fieldtrip,https://s3-media2.fl.yelpcdn.com/bphoto/L6EmVNXRYHihL4_OIE813Q/o.jpg,False,https://www.yelp.com/biz/fieldtrip-new-york-2?adjust_creative=TbeWL7dBz_EmPK89bHN42A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TbeWL7dBz_EmPK89bHN42A,104,4.5,"['pickup', 'delivery']",$$,(917) 639-3919,American (New),,40.80165,-73.95029,109 Malcolm X Blvd,,,New York,10026,US,NY,"109 Malcolm X Blvd, New York, NY 10026"
04NdwZnSFH3FXFBtwCrrAg,Home Sweet Harlem,https://s3-media2.fl.yelpcdn.com/bphoto/Dp-i2ZVxE14ileRjmFFHTw/o.jpg,False,https://www.yelp.com/biz/home-sweet-harlem-new-york?adjust_creative=TbeWL7dBz_EmPK89bHN42A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TbeWL7dBz_EmPK89bHN42A,445,4.0,"['pickup', 'delivery']",$$,(212) 926-9616,Breakfast & Brunch,American (New),40.819415,-73.952256,1528 Amsterdam Ave,,,New York,10031,US,NY,"1528 Amsterdam Ave, New York, NY 10031"
